# Logfile created on 2025-12-26 19:34:57 +0530 by logger.rb/v1.4.3
2025-12-26 19:34:57 +0530: Memory Usage (429636K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/ic_design_trg/lna_ihp/klayout/inv.gds
2025-12-26 19:34:57 +0530: Memory Usage (429636K) : Ruby Version for klayout: 3.0.2
2025-12-26 19:34:57 +0530: Memory Usage (431044K) : Loading database to memory is complete.
2025-12-26 19:34:57 +0530: Memory Usage (431044K) : IHP-SG13G2 KLayout DRC runset output at: /home/ic_design_trg/lna_ihp/klayout/drc_run_inv/inv_inv_main.lyrdb
2025-12-26 19:34:57 +0530: Memory Usage (431172K) : Evaluate switches.
2025-12-26 19:34:57 +0530: Memory Usage (431172K) : tables selected: main
2025-12-26 19:34:57 +0530: Memory Usage (431172K) : KLayout will use 1 thread(s) in tiled mode.
2025-12-26 19:34:57 +0530: Memory Usage (431172K) : deep mode is enabled.
2025-12-26 19:34:57 +0530: Memory Usage (431172K) : FEOL enabled: true
2025-12-26 19:34:57 +0530: Memory Usage (431172K) : BEOL enabled: true
2025-12-26 19:34:57 +0530: Memory Usage (431172K) : OFFGRID enabled: false
2025-12-26 19:34:57 +0530: Memory Usage (431172K) : PIN enabled: true
2025-12-26 19:34:57 +0530: Memory Usage (431172K) : FORBIDDEN enabled: true
2025-12-26 19:34:57 +0530: Memory Usage (431172K) : RECOMMENDED enabled: true
2025-12-26 19:34:57 +0530: Memory Usage (431172K) : PreCheck DRC enabled: false
2025-12-26 19:34:57 +0530: Memory Usage (431172K) : CONNECTIVITY_RULES enabled: true.
2025-12-26 19:34:57 +0530: Memory Usage (431172K) : Read in polygons from layers.
2025-12-26 19:34:57 +0530: Memory Usage (432452K) : activ_drw has 12 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432452K) : activ_pin has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432452K) : activ_mask has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432452K) : activ_filler has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432452K) : activ_nofill has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432452K) : activ_opc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432452K) : activ_iopc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432452K) : activ_noqrc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432452K) : biwind_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432452K) : biwind_opc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432452K) : pemwind_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432452K) : gatpoly_drw has 5 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432452K) : gatpoly_pin has 1 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432580K) : gatpoly_filler has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432580K) : gatpoly_nofill has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432580K) : gatpoly_opc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432580K) : gatpoly_iopc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432580K) : gatpoly_noqrc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432708K) : cont_drw has 320 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432708K) : cont_opc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432708K) : nsd_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432708K) : nsd_block has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432708K) : metal1_drw has 23 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432708K) : metal1_pin has 4 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432708K) : metal1_mask has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432708K) : metal1_filler has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432708K) : metal1_nofill has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432708K) : metal1_slit has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432836K) : metal1_text has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432836K) : metal1_opc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432836K) : metal1_noqrc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432836K) : metal1_res has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432836K) : metal1_iprobe has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (432964K) : metal1_diffprb has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (433092K) : passiv_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (433092K) : passiv_pin has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (433220K) : passiv_sbump has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (433220K) : passiv_pillar has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (433348K) : passiv_pdl has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (433348K) : metal2_drw has 8 polygons
2025-12-26 19:34:57 +0530: Memory Usage (433476K) : metal2_pin has 2 polygons
2025-12-26 19:34:57 +0530: Memory Usage (433476K) : metal2_mask has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (433604K) : metal2_filler has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (433604K) : metal2_nofill has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (433732K) : metal2_slit has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (433732K) : metal2_text has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (433860K) : metal2_opc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (433860K) : metal2_noqrc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (433860K) : metal2_res has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (433988K) : metal2_iprobe has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (433988K) : metal2_diffprb has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (434116K) : baspoly_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (434116K) : baspoly_pin has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (434244K) : psd_drw has 5 polygons
2025-12-26 19:34:57 +0530: Memory Usage (434244K) : nldb_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (434372K) : digibnd_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (434372K) : via1_drw has 10 polygons
2025-12-26 19:34:57 +0530: Memory Usage (434500K) : backmetal1_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (434500K) : backmetal1_pin has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (434628K) : backmetal1_mask has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (434628K) : backmetal1_filler has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (434756K) : backmetal1_nofill has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (434756K) : backmetal1_slit has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (434884K) : backmetal1_text has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (434884K) : backmetal1_opc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (435012K) : backmetal1_noqrc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (435012K) : backmetal1_res has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (435140K) : backmetal1_iprobe has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (435140K) : backmetal1_diffprb has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (435268K) : backpassiv_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (435268K) : res_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (435396K) : sram_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (435396K) : trans_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (435524K) : ind_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (435524K) : ind_pin has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (435652K) : ind_text has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (435652K) : salblock_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (435780K) : via2_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (435780K) : metal3_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (435908K) : metal3_pin has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (435908K) : metal3_mask has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (436036K) : metal3_filler has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (436036K) : metal3_nofill has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (436164K) : metal3_slit has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (436164K) : metal3_text has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (436292K) : metal3_opc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (436292K) : metal3_noqrc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (436420K) : metal3_res has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (436420K) : metal3_iprobe has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (436548K) : metal3_diffprb has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (436548K) : nwell_drw has 2 polygons
2025-12-26 19:34:57 +0530: Memory Usage (436676K) : nwell_pin has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (436676K) : nbulay_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (436804K) : nbulay_pin has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (436804K) : nbulay_block has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (436804K) : emwind_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (436932K) : emwind_opc has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (436932K) : deepco_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437060K) : deepco_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437060K) : mim_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437188K) : edgeseal_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437188K) : edgeseal_bound has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437316K) : substrate_drw has 1 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437316K) : substrate_text has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437444K) : dfpad_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437444K) : dfpad_pillar has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437572K) : dfpad_sbump has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437572K) : thickgateox_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437700K) : pldb_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437700K) : pwell_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437828K) : pwell_pin has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437828K) : pwell_block has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437956K) : ic_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (437956K) : via3_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (438084K) : metal4_drw has 0 polygons
2025-12-26 19:34:57 +0530: Memory Usage (438084K) : metal4_pin has 0 polygons
